pk,card_id,card_name,card_brand,card_in_out_1,card_in_out_2,card_in_out_3,card_img,card_record,card_overseas
1,1,신한카드 Hi-Point,신한카드,"해외겸용 8,000",,,https://api.card-gorilla.com:8080/storage/card/1/card_img/20083/1card.png,전월실적 없음,VISA | mastercard | JCB
2,2,신한카드 Love,신한카드,"해외겸용 8,000",,,https://api.card-gorilla.com:8080/storage/card/2/card_img/20084/2card.png,전월실적20 만원 이상,VISA | mastercard | AMEX | UnionPay
3,3,신한카드 Lady,신한카드,"해외겸용 5,000",,,https://api.card-gorilla.com:8080/storage/card/3/card_img/20085/3card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
4,4,SK에너지 신한카드The you,신한카드,"국내전용 7,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/4/card_img/20086/4card.png,전월실적30 만원 이상,VISA | mastercard | UnionPay
5,5,GS칼텍스 신한카드Dream 100,신한카드,"국내전용 7,000","해외겸용 12,000",,https://api.card-gorilla.com:8080/storage/card/5/card_img/20087/5card.png,전월실적30 만원 이상,VISA
6,6,신한카드 Cube,신한카드,"국내전용 10,000","해외겸용 13,000",,https://api.card-gorilla.com:8080/storage/card/6/card_img/20088/6card.png,전월실적30 만원 이상,VISA | mastercard
7,7,신한카드 23.5°,신한카드,"국내전용 10,000","해외겸용 14,000",,https://api.card-gorilla.com:8080/storage/card/7/card_img/20089/7card.png,전월실적 없음,VISA
8,8,신한카드 The CLASSIC-Y,신한카드,"해외겸용 100,000",,,https://api.card-gorilla.com:8080/storage/card/8/card_img/20090/8card.png,전월실적 없음,VISA | mastercard | UnionPay
9,9,신한카드 아이행복,신한카드,해외겸용 없음,,,https://api.card-gorilla.com:8080/storage/card/9/card_img/20091/9card.png,전월실적30 만원 이상,
10,10,신한카드 B.Big(삑),신한카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/10/card_img/24226/10card.png,전월실적30 만원 이상,VISA | UnionPay
11,11,신한카드 Simple+,신한카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/11/card_img/20093/11card.png,전월실적 없음,VISA | mastercard
12,12,신한카드 Air Platinum#,신한카드,"해외겸용 37,000",,,https://api.card-gorilla.com:8080/storage/card/12/card_img/20094/12card.png,전월실적 없음,VISA | mastercard
13,13,신한카드 Mr.Life,신한카드,"해외겸용 15,000",,,https://api.card-gorilla.com:8080/storage/card/13/card_img/20095/13card.png,전월실적30 만원 이상,VISA
14,14,신한카드 YOLO ⓘ,신한카드,"국내전용 15,000","해외겸용 18,000",,https://api.card-gorilla.com:8080/storage/card/14/card_img/20096/14card.png,전월실적30 만원 이상,VISA
15,15,신한카드 The CLASSIC+,신한카드,"해외겸용 120,000",,,https://api.card-gorilla.com:8080/storage/card/15/card_img/20097/15card.png,전월실적30 만원 이상,AMEX
16,16,신한카드 RPM+ Platinum#,신한카드,"해외겸용 32,000",,,https://api.card-gorilla.com:8080/storage/card/16/card_img/20098/16card.png,전월실적50 만원 이상,VISA | UnionPay
17,17,신한카드 YOLO Tasty,신한카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/17/card_img/20099/17card.png,전월실적30 만원 이상,VISA
18,18,신한카드 Shopping,신한카드,"해외겸용 20,000",,,https://api.card-gorilla.com:8080/storage/card/18/card_img/20100/18card.png,전월실적50 만원 이상,VISA
19,19,신한카드 O2O,신한카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/19/card_img/20101/19card.png,전월실적50 만원 이상,mastercard
20,21,신한카드 Simple Platinum#,신한카드,"해외겸용 27,000",,,https://api.card-gorilla.com:8080/storage/card/21/card_img/20103/21card.png,전월실적 없음,VISA | UnionPay
21,22,카카오페이 신한카드,신한카드,"국내전용 12,000","해외겸용 15,000",,https://api.card-gorilla.com:8080/storage/card/22/card_img/20104/22card.png,전월실적30 만원 이상,mastercard | UnionPay
22,23,신한카드 Always FAN,신한카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/23/card_img/20105/23card.png,전월실적50 만원 이상,
23,24,EDIYA 신한카드 Tasty,신한카드,"해외겸용 10,000",,,https://api.card-gorilla.com:8080/storage/card/24/card_img/20106/24card.png,전월실적30 만원 이상,mastercard | UnionPay
